========== [ 1 ] ==========
undo              : 원상태로돌리다
undermine         : 약화[손상]시키다
instance          : 사례,경우
quarrel           : 다투다,언쟁을벌이다
interpersonal     : 대인관계에관련된
compact           : 조밀한,촘촘한
medium            : 매체,수단
ubiquitous        : 어디에나있는
contrast          : 대조하다,대조를보이다
mean              : 의도하다
hygiene           : 위생
hue               : 색조,빛깔
crude             : 천연그대로의
========== [ 2 ] ==========
manner            : 방법,방식
abnormal          : 비정상적인,이상한
acoustic          : 청각의,음향의
drive             : (어떤방향으로)몰다
moral             : ((pl.))도덕,윤리
deceptive         : 속이는,기만적인,오해를사는
curl              : (몸을)웅크리다
appropriate       : 적절한
influx            : (사람,자금등의)유입,밀려듦
germinate         : 싹이트다,발아하다
psyche            : 정신,마음
headquarters      : 본사,본부
immature          : 미숙한
impede            : 저해[방해]하다
imminent          : 임박한,절박한
========== [ 3 ] ==========
observe           : (법률,규칙등을)준수하다
native            : 출생지의,토착의
radiant           : 빛나는,환한
specific          : 명확한,구체적인,특정한
relative          : 상대적인
era               : 시대,연대
shiver            : (추위,공포등으로)몸을떨다
perceive          : 지각[인지]하다
assume            : (책임,역할을)맡다
conduct           : (열,전기를)전도하다
eradicate         : 근절하다,뿌리뽑다
promote           : 진급[승진]시키다
irrational        : 비이성적인,분별이없는
bear              : 참다,견디다
heritage          : (사회적,문화적)유산,전통
fast              : 단식[금식]하다
conflict          : 충돌,갈등
========== [ 4 ] ==========
consequence       : 중요성,중대함
plausible         : 이치에맞는,그럴듯한
narrow            : (폭이)좁은
stock             : 비축하다,저장하다
invariable        : 변함없는
indicate          : 나타내다,보여주다
extent            : 정도,규모
content           : 만족[자족]하는
scale             : 저울
institution       : 기관,협회
premise           : 전제
fallacy           : 오류,착오
merely            : 단지,그저
tantrum           : 성질,짜증
setback           : 방해,실패,좌절
vibrant           : 활기찬,생명력이넘치는
due               : ~하기로예정된
decisive          : 결정적인,중대한
prolonged         : 오래계속되는,장기적인
camouflage        : 위장,속임수
rigorous          : 정확한,정밀한
firm              : 확고한
momentous         : 중대한,중요한
feature           : (배우를)주연시키다
deforestation     : 삼림벌채
tactic            : 전략,작전
elastic           : 탄력[신축성]있는
mist              : 안개
========== [ 5 ] ==========
vivid             : (상상력이)활발한
concentrate       : 응축[농축]하다
demonstrate       : 입증하다
strike            : 파업
aesthetic         : 심미적인,미학적인
derive            : ~에서비롯되다
metabolic         : 신진[물질]대사의
appliance         : (가정용)기기,장치,가전제품
identical         : 동일한,똑같은
shift             : 변화
natal             : 출생의
tremble           : 떨(리)다
intense           : 극심한,강렬한
recess            : 휴식,휴회
arrogant          : 오만한,건방진
startle           : 깜짝놀라게하다
staple            : 주된,주요한
attribute         : (~의)덕분[탓]으로돌리다
========== [ 6 ] ==========
endeavor          : 노력하다,시도하다
anticipate        : 예상[기대]하다
optimistic        : 낙관적인
practical         : 실용적인,유용한
contemporary      : 동시대의
successive        : 연속적인,연이은
innovation        : 혁신,쇄신
notion            : 개념,관념,생각
expenditure       : 소비,소모
conference        : 회의,학회
currency          : 통화,화폐
compatible        : 양립[공존]할수있는
falsify           : 거짓임을입증하다
blaze             : 불길,화재
precisely         : 정확히,정밀하게
engage            : (마음을)사로잡다
volume            : 부피,양
itinerary         : 여행일정표
intact            : 손상되지않은,그대로의
narrative         : 이야기,서술
mischief          : 나쁜짓,장난
bold              : 용감한,대담한
========== [ 7 ] ==========
yield             : 양보하다
definitive        : 최종적인,확정적인
convey            : (생각,감정등을)전달하다
admit             : 인정[시인]하다
charge            : (대가,요금을)청구하다
howl              : (개,늑대등이)길게짖다
crucial           : 결정적인,중대한
conventional      : 전통[관습]적인,틀에박힌
duplicate         : 되풀이하다
induce            : 초래하다
frustrated        : 좌절한,짜증이난,불만스러운
greed             : 탐욕,욕심
stern             : 엄격한,단호한
contrary          : 반대되는
facility          : ((pl.))시설,설비
seal              : 밀봉하다,밀폐하다
inclination       : 경향,의향
candidate         : 후보자,지원자
variation         : 변화,변형
altitude          : 고도
epic              : 서사시,대작
penetrate         : 침투하다,뚫고들어가다
remark            : 언급하다,말하다
account           : (비율을)차지하다
distinct          : 별개의,구별되는
subordinate       : 종속된,하위의,부수적인
ease              : 편하게하다,경감시키다
retrieve          : 되찾다,회복하다
========== [ 8 ] ==========
appeal            : 호소하다
ignite            : 불이붙다,불을붙이다
deceased          : 사망한
stereotype        : 고정관념
ethnic            : 민족의,인종의
plot              : 구성,줄거리
employ            : 이용하다
commit            : (범죄등을)저지르다
vendor            : 판매회사
behalf            : 측,편,이익
magnificent       : 장엄한,훌륭한
intend            : 의도[작정]하다
net               : 에누리없는,순~,실~
rational          : 합리적인,이성적인
diminish          : 줄어들다,감소하다
manifest          : 나타내다,드러내다
underlie          : ~의기초가되다
longevity         : 장수
assess            : 평가하다
colony            : 식민지
consciousness     : 의식,자각
credit            : 칭찬,인정,공로
modest            : 그다지대단하지않은,보통의
impersonal        : 인간미없는,비인격적인
suppose           : 가정[상상]하다
earthly           : 현세의,세속적인
inherent          : 타고난,내재하는
momentary         : 순간적인,잠깐의
regard            : (~으로)간주하다,여기다
entice            : 유도[유인]하다
========== [ 9 ] ==========
breathtaking      : 숨막히는,깜짝놀랄만한
hybrid            : (동식물의)잡종
sophisticated     : 정교한,복잡한
polygraph         : 거짓말탐지기
secure            : 안심하는,안전한
indifferent       : 무관심한
vital             : 생명유지에필수적인
conscience        : 양심
neglect           : 무시하다,도외시하다
proportion        : 비율
expense           : 돈,비용
pointless         : 무의미한,할가치가없는
devote            : 바치다,전념하다
outgoing          : 외향적인,사교적인
outdated          : 구식의,시대에뒤진
priority          : 우선(권)
relevant          : 관련된,적절한
physician         : 내과의사
omission          : 소홀,태만
radioactive       : 방사능[성]의
guarantee         : 보장하다,약속하다
classical         : 인문적인
radiation         : (열,에너지등의)복사,방사(선)
pastime           : 취미,오락
instinct          : 본능,직관
ground            : ~에근거를두다
malnutrition      : 영양실조
midwife           : 산파,조산사
inflict           : (괴로움등을)가하다
paralyzed         : 마비된
========== [ 10 ] ==========
disposable        : 1회용의,쓰고버리는
urge              : 촉구하다,재촉하다
illusion          : 오해,착각
compensate        : 보상[배상]하다
facilitate        : 가능[용이]하게하다,촉진하다
inferior          : 질낮은,열등한
shortcut          : 지름길,손쉬운방법
welfare           : 복지,행복
molecule          : 분자
sob               : 흐느껴울다
reasonable        : 적당한,(가격이)알맞은
benevolent        : 자애로운
remarkable        : 주목할만한,놀랄만한
resort            : 의지하다,호소하다
thermometer       : 온도계,체온계
humidity          : 습도,습기
trim              : (깎아서)다듬다,손질[정돈]하다
deadlock          : 교착상태
transit           : 운송,수송
application       : 적용,사용
renowned          : 유명한,명성있는
rip               : 찢다,뜯어내다
homogeneous       : 동종의,동질적인
court             : 법정,법원
illustrate        : 설명[실증]하다
conjecture        : 추측
psychic           : 마음의,정신의
profess           : 공언[선언]하다
rally             : 집결[단결]하다
pollinate         : 수분하다
refract           : 굴절시키다
masculine         : 남자다운
rein              : 통제하다,제어하다
intolerance       : 참을수없음,편협
shortcoming       : ((pl.))결점,단점
========== [ 11 ] ==========
vigorous          : 활발한,활기찬
withstand         : 저항하다,견뎌내다
lull              : 달래다,안심[진정]시키다
betrayal          : 배신,배반
tune              : (악기를)조율하다
adjoin            : 인접하다,붙어있다
amplify           : 증폭시키다,확대하다
confront          : 직면하다,맞서다
accuse            : 고발[기소]하다
dominate          : 지배하다
hypocrisy         : 위선
adorn             : 꾸미다,장식하다
exponential       : (증가율이)기하급수적인
immigrant         : (외국으로부터의)이민자,이주민
isolate           : 격리하다,고립시키다
phrase            : 구,관용구
portion           : 부분,일부
fiber             : 섬유(질)
radical           : 근본적인
fright            : 두려움,공포
resolve           : 결심하다
affliction        : 고통,괴로움
severe            : 심각한
abolition         : (법률,제도의)폐지,폐기
hierarchical      : 계층의,계급에따른
weary             : 지친,피곤한
evacuation        : 대피,철수
murmur            : 속삭이다,중얼거리다
shed              : (허물,옷을)벗다
numerical         : 수의,숫자로표시한
brief             : 간결한,간단한
fade              : 시들다,약해지다
diffuse           : 분산되다[시키다],확산되다[시키다]
========== [ 12 ] ==========
amuse             : 즐겁게하다
blush             : 얼굴을붉히다
decay             : 부패[부식]하다
obedient          : 순종적인,복종하는
disturb           : 방해하다
familiarity       : 익숙함,친밀
buoyant           : 부력이있는,물에뜰수있는
chamber           : 방,실
bully             : (약자를)괴롭히는사람
liberal           : 자유민주적인
void              : 무효의
norm              : ((pl.))규범
catastrophe       : 참사,재앙
prosperity        : 번영,번성,부
cozy              : 편안한,안락한
contempt          : 경멸,멸시
scatter           : 흩뿌리다,흩어지게하다
underrate         : 과소평가하다
cynical           : 냉소적인
trigger           : 촉발시키다
vague             : 애매한,모호한
compromise        : 타협,화해,양보
incorporate       : 포함[편입]하다
commodity         : 상품,물품
esteem            : 존경[존중]하다
egocentric        : 자기중심적인
nocturnal         : 밤의,야행성의
salute            : 경의를표하다
luxuriant         : 무성한,풍성한
deposit           : 예금[예치]하다
oppress           : 압박[억압]하다
ordeal            : 시련,고난
